#,Name,Tag,Accepted rate,LeetcodeID,Leetcode Link,Desc
28,Flipping an Image,"['Array', 'Two Pointers', '3+']",82.50%,832,https://leetcode.com/problems/flipping-an-image/description,"Given an `n x n` binary matrix `image`, flip the image horizontally, then invert it, and return the resulting image.
 
 To flip an image horizontally means that each row of the image is reversed.
 
 For example, flipping `[1,1,0]` horizontally results in `[0,1,1]`.
 
 To invert an image means that each `0` is replaced by `1`, and each `1` is replaced by `0`.
 
 For example, inverting `[0,1,1]` results in `[1,0,0]`.
 
 
 Example 1:
 Input: image = [[1,1,0],[1,0,1],[0,0,0]]
 Output: [[1,0,0],[0,1,0],[1,1,1]]
 Explanation: First reverse each row: [[0,1,1],[1,0,1],[0,0,0]].
 
 Then, invert the image: [[1,0,0],[0,1,0],[1,1,1]]
 
 Example 2:
 Input: image = [[1,1,0,0],[1,0,0,1],[0,1,1,1],[1,0,1,0]]
 Output: [[1,1,0,0],[0,1,1,0],[0,0,0,1],[1,0,1,0]]
 Explanation: First reverse each row: [[0,0,1,1],[1,0,0,1],[1,1,1,0],[0,1,0,1]].
 
 Then invert the image: [[1,1,0,0],[0,1,1,0],[0,0,0,1],[1,0,1,0]]
 
 Constraints:
 `n == image.length`
 `n == image[i].length`
 `1 <= n <= 20`
 `images[i][j]` is either `0` or `1`."
29,Maximum 69 Number,"['Math', 'Greedy']",82.50%,1323,https://leetcode.com/problems/maximum-69-number/description,"Given a positive integer `num` consisting only of digits 6 and 9.
 
 Return the maximum number you can get by changing at most one digit (6 becomes 9, and 9 becomes 6).
 
 
 Example 1:
 Input: num = 9669
 Output: 9969
 Explanation: 
 Changing the first digit results in 6669.
 
 Changing the second digit results in 9969.
 
 Changing the third digit results in 9699.
 
 Changing the fourth digit results in 9666. 
 The maximum number is 9969.
 
 
 Example 2:
 Input: num = 9996
 Output: 9999
 Explanation: Changing the last digit 6 to 9 results in the maximum number.
 
 
 Example 3:
 Input: num = 9999
 Output: 9999
 Explanation: It is better not to apply any change.
 
 
 Constraints:
 `1 <= num <= 10^4`
 `num`'s digits are 6 or 9."
30,Minimum Time Visiting All Points,"['Array', 'Math', 'Geometry']",82.40%,1266,https://leetcode.com/problems/minimum-time-visiting-all-points/description,"On a 2D plane, there are `n` points with integer coordinates `points[i] = [xi, yi]`. Return the minimum time in seconds to visit all the points in the order given by `points`.
 
 You can move according to these rules:
 In `1` second, you can either:
 
 move vertically by one unit,
 move horizontally by one unit, or
 move diagonally `sqrt(2)` units (in other words, move one unit vertically then one unit horizontally in `1` second).
 
 You have to visit the points in the same order as they appear in the array.
 
 You are allowed to pass through points that appear later in the order, but these do not count as visits.
 
 
 Example 1:
 Input: points = [[1,1],[3,4],[-1,0]]
 Output: 7
 Explanation: One optimal path is [1,1] -> [2,2] -> [3,3] -> [3,4] -> [2,3] -> [1,2] -> [0,1] -> [-1,0] 
 Time from [1,1] to [3,4] = 3 seconds 
 Time from [3,4] to [-1,0] = 4 seconds
 Total time = 7 seconds
 
 Example 2:
 Input: points = [[3,2],[-2,2]]
 Output: 5
 
 Constraints:
 `points.length == n`
 `1 <= n <= 100`
 `points[i].length == 2`
 `-1000 <= points[i][0], points[i][1] <= 1000`"
31,Count Good Triplets,"['Array', 'Enumeration']",81.50%,1534,https://leetcode.com/problems/count-good-triplets/description,"Given an array of integers `arr`, and three integers `a`, `b` and `c`. You need to find the number of good triplets.
 
 A triplet `(arr[i], arr[j], arr[k])` is good if the following conditions are true:
 `0 <= i < j < k < arr.length`
 `|arr[i] - arr[j]| <= a`
 `|arr[j] - arr[k]| <= b`
 `|arr[i] - arr[k]| <= c`
 Where `|x|` denotes the absolute value of `x`.
 
 Return the number of good triplets.
 
 
 Example 1:
 Input: arr = [3,0,1,1,9,7], a = 7, b = 2, c = 3
 Output: 4
 Explanation: There are 4 good triplets: [(3,0,1), (3,0,1), (3,1,1), (0,1,1)].
 
 
 Example 2:
 Input: arr = [1,1,2,2,3], a = 0, b = 0, c = 1
 Output: 0
 Explanation: No triplet satisfies all conditions.
 
 
 Constraints:
 `3 <= arr.length <= 100`
 `0 <= arr[i] <= 1000`
 `0 <= a, b, c <= 1000`"
32,Height Checker,"['Array', 'Sorting', 'Counting Sort']",80.90%,1051,https://leetcode.com/problems/height-checker/description,"A school is trying to take an annual photo of all the students. The students are asked to stand in a single file line in non-decreasing order by height. Let this ordering be represented by the integer array `expected` where `expected[i]` is the expected height of the `ith` student in line.
 
 You are given an integer array `heights` representing the current order that the students are standing in. Each `heights[i]` is the height of the `ith` student in line (0-indexed).
 
 Return the number of indices where `heights[i] != expected[i]`.
 
 
 Example 1:
 Input: heights = [1,1,4,2,1,3]
 Output: 3
 Explanation: 
 heights: [1,1,4,2,1,3]
 expected: [1,1,1,2,3,4]
 Indices 2, 4, and 5 do not match.
 
 
 Example 2:
 Input: heights = [5,1,2,3,4]
 Output: 5
 Explanation:
 heights: [5,1,2,3,4]
 expected: [1,2,3,4,5]
 All indices do not match.
 
 
 Example 3:
 Input: heights = [1,2,3,4,5]
 Output: 0
 Explanation:
 heights: [1,2,3,4,5]
 expected: [1,2,3,4,5]
 All indices match.
 
 
 Constraints:
 `1 <= heights.length <= 100`
 `1 <= heights[i] <= 100`"
33,Count Substrings with Only One Distinct Letter,"['Math', 'String']",80.20%,1180,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/description,"Given a string `S`, return the number of substrings that have only one distinct letter.
 
 
 Example 1:
 Input: S = ""aaaba""
 Output: 8
 Explanation: The substrings with one distinct letter are ""aaa"", ""aa"", ""a"", ""b"".
 
 ""aaa"" occurs 1 time.
 
 ""aa"" occurs 2 times.
 
 ""a"" occurs 4 times.
 
 ""b"" occurs 1 time.
 
 So the answer is 1 + 2 + 4 + 1 = 8.
 
 
 Example 2:
 Input: S = ""aaaaaaaaaa""
 Output: 55
 
 Constraints:
 `1 <= S.length <= 1000`
 `S[i]` consists of only lowercase English letters."
34,Decrypt String from Alphabet to Integer Mapping,['String'],80.00%,1309,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping/description,"Given a string `s` formed by digits (`'0'` - `'9'`) and `'#'` . We want to map `s` to English lowercase characters as follows:
 Characters (`'a'` to `'i')` are represented by (`'1'` to `'9'`) respectively.
 
 Characters (`'j'` to `'z')` are represented by (`'10#'` to `'26#'`) respectively. 
 Return the string formed after mapping.
 
 It's guaranteed that a unique mapping will always exist.
 
 
 Example 1:
 Input: s = ""10#11#12""
 Output: ""jkab""
 Explanation: ""j"" -> ""10#"" , ""k"" -> ""11#"" , ""a"" -> ""1"" , ""b"" -> ""2"".
 
 
 Example 2:
 Input: s = ""1326#""
 Output: ""acz""
 
 Example 3:
 Input: s = ""25#""
 Output: ""y""
 
 Example 4:
 Input: s = ""12345678910#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#""
 Output: ""abcdefghijklmnopqrstuvwxyz""
 
 Constraints:
 `1 <= s.length <= 1000`
 `s[i]` only contains digits letters (`'0'`-`'9'`) and `'#'` letter.
 
 `s` will be valid string such that mapping is always possible."
35,Lucky Numbers in a Matrix,"['Array', 'Matrix']",79.90%,1380,https://leetcode.com/problems/lucky-numbers-in-a-matrix/description,"Given a `m * n` matrix of distinct numbers, return all lucky numbers in the matrix in any order.
 
 A lucky number is an element of the matrix such that it is the minimum element in its row and maximum in its column.
 
 
 Example 1:
 Input: matrix = [[3,7,8],[9,11,13],[15,16,17]]
 Output: [15]
 Explanation: 15 is the only lucky number since it is the minimum in its row and the maximum in its column
 
 Example 2:
 Input: matrix = [[1,10,4,2],[9,3,8,7],[15,16,17,12]]
 Output: [12]
 Explanation: 12 is the only lucky number since it is the minimum in its row and the maximum in its column.
 
 
 Example 3:
 Input: matrix = [[7,8],[1,2]]
 Output: [7]
 
 Constraints:
 `m == mat.length`
 `n == mat[i].length`
 `1 <= n, m <= 50`
 `1 <= matrix[i][j] <= 10^5`.
 
 All elements in the matrix are distinct."
36,Sort Array by Increasing Frequency,"['Array', 'Hash Table', 'Sorting']",79.90%,1636,https://leetcode.com/problems/sort-array-by-increasing-frequency/description,"Given an array of integers `nums`, sort the array in increasing order based on the frequency of the values. If multiple values have the same frequency, sort them in decreasing order.
 
 Return the sorted array.
 
 
 Example 1:
 Input: nums = [1,1,2,2,2,3]
 Output: [3,1,1,2,2,2]
 Explanation: '3' has a frequency of 1, '1' has a frequency of 2, and '2' has a frequency of 3.
 
 
 Example 2:
 Input: nums = [2,3,1,3,2]
 Output: [1,3,3,2,2]
 Explanation: '2' and '3' both have a frequency of 2, so they are sorted in decreasing order.
 
 
 Example 3:
 Input: nums = [-1,1,-6,4,5,-6,1,4,1]
 Output: [5,-1,4,4,-6,-6,1,1,1]
 
 Constraints:
 `1 <= nums.length <= 100`
 `-100 <= nums[i] <= 100`"
37,Intersection of Three Sorted Arrays,"['Array', 'Hash Table', 'Binary Search', '1+']",79.80%,1213,https://leetcode.com/problems/intersection-of-three-sorted-arrays/description,"Given three integer arrays `arr1`, `arr2` and `arr3` sorted in strictly increasing order, return a sorted array of only the integers that appeared in all three arrays.
 
 
 Example 1:
 Input: arr1 = [1,2,3,4,5], arr2 = [1,2,5,7,9], arr3 = [1,3,4,5,8]
 Output: [1,5]
 Explanation: Only 1 and 5 appeared in the three arrays.
 
 
 Example 2:
 Input: arr1 = [197,418,523,876,1356], arr2 = [501,880,1593,1710,1870], arr3 = [521,682,1337,1395,1764]
 Output: []
 
 Constraints:
 `1 <= arr1.length, arr2.length, arr3.length <= 1000`
 `1 <= arr1[i], arr2[i], arr3[i] <= 2000`"
38,Array Partition,"['Array', 'Greedy', 'Sorting', '1+']",79.60%,561,https://leetcode.com/problems/array-partition/description,"Given an integer array `nums` of `2n` integers, group these integers into `n` pairs `(a1, b1), (a2, b2), ..., (an, bn)` such that the sum of `min(ai, bi)` for all `i` is maximized. Return the maximized sum.
 
 
 Example 1:
 Input: nums = [1,4,3,2]
 Output: 4
 Explanation: All possible pairings (ignoring the ordering of elements) are:
 1. (1, 4), (2, 3) -> min(1, 4) + min(2, 3) = 1 + 2 = 3
 2. (1, 3), (2, 4) -> min(1, 3) + min(2, 4) = 1 + 2 = 3
 3. (1, 2), (3, 4) -> min(1, 2) + min(3, 4) = 1 + 3 = 4
 So the maximum possible sum is 4.
 
 
 Example 2:
 Input: nums = [6,2,6,5,1,2]
 Output: 9
 Explanation: The optimal pairing is (2, 1), (2, 5), (6, 6). min(2, 1) + min(2, 5) + min(6, 6) = 1 + 2 + 6 = 9.
 
 
 Constraints:
 `1 <= n <= 104`
 `nums.length == 2 * n`
 `-104 <= nums[i] <= 104`"
39,Destination City,"['Array', 'Hash Table', 'String']",79.50%,1436,https://leetcode.com/problems/destination-city/description,"You are given the array `paths`, where `paths[i] = [cityAi, cityBi]` means there exists a direct path going from `cityAi` to `cityBi`. Return the destination city, that is, the city without any path outgoing to another city.
 
 It is guaranteed that the graph of paths forms a line without any loop, therefore, there will be exactly one destination city.
 
 
 Example 1:
 Input: paths = [[""London"",""New York""],[""New York"",""Lima""],[""Lima"",""Sao Paulo""]]
 Output: ""Sao Paulo"" 
 Explanation: Starting at ""London"" city you will reach ""Sao Paulo"" city which is the destination city. Your trip consist of: ""London"" -> ""New York"" -> ""Lima"" -> ""Sao Paulo"".
 
 
 Example 2:
 Input: paths = [[""B"",""C""],[""D"",""B""],[""C"",""A""]]
 Output: ""A""
 Explanation: All possible trips are: 
 ""D"" -> ""B"" -> ""C"" -> ""A"". 
 ""B"" -> ""C"" -> ""A"". 
 ""C"" -> ""A"". 
 ""A"". 
 Clearly the destination city is ""A"".
 
 
 Example 3:
 Input: paths = [[""A"",""Z""]]
 Output: ""Z""
 
 Constraints:
 `1 <= paths.length <= 100`
 `paths[i].length == 2`
 `1 <= cityAi.length, cityBi.length <= 10`
 `cityAi != cityBi`
 All strings consist of lowercase and uppercase English letters and the space character."
40,DI String Match,"['Array', 'Two Pointers', 'String', '1+']",79.40%,942,https://leetcode.com/problems/di-string-match/description,"A permutation `perm` of `n + 1` integers of all the integers in the range `[0, n]` can be represented as a string `s` of length `n` where:
 `s[i] == 'I'` if `perm[i] < perm[i + 1]`, and
 `s[i] == 'D'` if `perm[i] > perm[i + 1]`.
 
 Given a string `s`, reconstruct the permutation perm and return it. If there are multiple valid permutations perm, return any of them.
 
 
 Example 1:
 Input: s = ""IDID""
 Output: [0,4,1,3,2]
 
 Example 2:
 Input: s = ""III""
 Output: [0,1,2,3]
 
 Example 3:
 Input: s = ""DDI""
 Output: [3,2,0,1]
 
 Constraints:
 `1 <= s.length <= 105`
 `s[i]` is either `'I'` or `'D'`."
41,Self Dividing Numbers,['Math'],79.10%,728,https://leetcode.com/problems/self-dividing-numbers/description,"A self-dividing number is a number that is divisible by every digit it contains.
 
 For example, 128 is a self-dividing number because `128 % 1 == 0`, `128 % 2 == 0`, and `128 % 8 == 0`.
 
 Also, a self-dividing number is not allowed to contain the digit zero.
 
 Given a lower and upper number bound, output a list of every possible self dividing number, including the bounds if possible.
 
 
 Example 1:
 Input: 
 left = 1, right = 22
 Output: [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 22]
 Note:
 The boundaries of each input argument are `1 <= left <= right <= 10000`."
42,Moving Average from Data Stream,"['Array', 'Design', 'Queue', '1+']",79.00%,346,https://leetcode.com/problems/moving-average-from-data-stream/description,"Given a stream of integers and a window size, calculate the moving average of all integers in the sliding window.
 
 Implement the `MovingAverage` class:
 `MovingAverage(int size)` Initializes the object with the size of the window `size`.
 
 `double next(int val)` Returns the moving average of the last `size` values of the stream.
 
 
 Example 1:
 Input
 [""MovingAverage"", ""next"", ""next"", ""next"", ""next""]
 [[3], [1], [10], [3], [5]]
 Output
 [null, 1.0, 5.5, 4.66667, 6.0]
 Explanation
 MovingAverage movingAverage = new MovingAverage(3);
 movingAverage.next(1); // return 1.0 = 1 / 1
 movingAverage.next(10); // return 5.5 = (1 + 10) / 2
 movingAverage.next(3); // return 4.66667 = (1 + 10 + 3) / 3
 movingAverage.next(5); // return 6.0 = (10 + 3 + 5) / 3
 
 Constraints:
 `1 <= size <= 1000`
 `-105 <= val <= 105`
 At most `104` calls will be made to `next`."
43,Cells with Odd Values in a Matrix,"['Array', 'Math', 'Simulation']",78.90%,1252,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/description,"There is an `m x n` matrix that is initialized to all `0`'s. There is also a 2D array `indices` where each `indices[i] = [ri, ci]` represents a 0-indexed location to perform some increment operations on the matrix.
 
 For each location `indices[i]`, do both of the following:
 Increment all the cells on row `ri`.
 
 Increment all the cells on column `ci`.
 
 Given `m`, `n`, and `indices`, return the number of odd-valued cells in the matrix after applying the increment to all locations in `indices`.
 
 
 Example 1:
 Input: m = 2, n = 3, indices = [[0,1],[1,1]]
 Output: 6
 Explanation: Initial matrix = [[0,0,0],[0,0,0]].
 
 After applying first increment it becomes [[1,2,1],[0,1,0]].
 
 The final matrix is [[1,3,1],[1,3,1]], which contains 6 odd numbers.
 
 
 Example 2:
 Input: m = 2, n = 2, indices = [[1,1],[0,0]]
 Output: 0
 Explanation: Final matrix = [[2,2],[2,2]]. There are no odd numbers in the final matrix.
 
 
 Constraints:
 `1 <= m, n <= 50`
 `1 <= indices.length <= 100`
 `0 <= ri < m`
 `0 <= ci < n`
 Follow up: Could you solve this in `O(n + m + indices.length)` time with only `O(n + m)` extra space?"
44,Number Of Rectangles That Can Form The Largest Square,['Array'],78.90%,1725,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/description,"You are given an array `rectangles` where `rectangles[i] = [li, wi]` represents the `ith` rectangle of length `li` and width `wi`.
 
 You can cut the `ith` rectangle to form a square with a side length of `k` if both `k <= li` and `k <= wi`. For example, if you have a rectangle `[4,6]`, you can cut it to get a square with a side length of at most `4`.
 
 Let `maxLen` be the side length of the largest square you can obtain from any of the given rectangles.
 
 Return the number of rectangles that can make a square with a side length of `maxLen`.
 
 
 Example 1:
 Input: rectangles = [[5,8],[3,9],[5,12],[16,5]]
 Output: 3
 Explanation: The largest squares you can get from each rectangle are of lengths [5,3,5,5].
 
 The largest possible square is of length 5, and you can get it out of 3 rectangles.
 
 
 Example 2:
 Input: rectangles = [[2,3],[3,7],[4,3],[3,7]]
 Output: 3
 
 Constraints:
 `1 <= rectangles.length <= 1000`
 `rectangles[i].length == 2`
 `1 <= li, wi <= 109`
 `li != wi`"
45,Determine Color of a Chessboard Square,"['Math', 'String']",78.90%,1812,https://leetcode.com/problems/determine-color-of-a-chessboard-square/description,"You are given `coordinates`, a string that represents the coordinates of a square of the chessboard. Below is a chessboard for your reference.
 
 Return `true` if the square is white, and `false` if the square is black.
 
 The coordinate will always represent a valid chessboard square. The coordinate will always have the letter first, and the number second.
 
 
 Example 1:
 Input: coordinates = ""a1""
 Output: false
 Explanation: From the chessboard above, the square with coordinates ""a1"" is black, so return false.
 
 
 Example 2:
 Input: coordinates = ""h3""
 Output: true
 Explanation: From the chessboard above, the square with coordinates ""h3"" is white, so return true.
 
 
 Example 3:
 Input: coordinates = ""c7""
 Output: false
 
 Constraints:
 `coordinates.length == 2`
 `'a' <= coordinates[0] <= 'h'`
 `'1' <= coordinates[1] <= '8'`"
46,Final Prices With a Special Discount in a Shop,"['Array', 'Stack', 'Monotonic Stack']",78.70%,1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/description,"Given the array `prices` where `prices[i]` is the price of the `ith` item in a shop. There is a special discount for items in the shop, if you buy the `ith` item, then you will receive a discount equivalent to `prices[j]` where `j` is the minimum index such that `j > i` and `prices[j] <= prices[i]`, otherwise, you will not receive any discount at all.
 
 Return an array where the `ith` element is the final price you will pay for the `ith` item of the shop considering the special discount.
 
 
 Example 1:
 Input: prices = [8,4,6,2,3]
 Output: [4,2,4,2,3]
 Explanation: 
 For item 0 with price[0]=8 you will receive a discount equivalent to prices[1]=4, therefore, the final price you will pay is 8 - 4 = 4. 
 For item 1 with price[1]=4 you will receive a discount equivalent to prices[3]=2, therefore, the final price you will pay is 4 - 2 = 2. 
 For item 2 with price[2]=6 you will receive a discount equivalent to prices[3]=2, therefore, the final price you will pay is 6 - 2 = 4. 
 For items 3 and 4 you will not receive any discount at all.
 
 
 Example 2:
 Input: prices = [1,2,3,4,5]
 Output: [1,2,3,4,5]
 Explanation: In this case, for all items, you will not receive any discount at all.
 
 
 Example 3:
 Input: prices = [10,1,1,6]
 Output: [9,0,1,6]
 
 Constraints:
 `1 <= prices.length <= 500`
 `1 <= prices[i] <= 10^3`"
47,Determine if String Halves Are Alike,"['String', 'Counting']",78.70%,1704,https://leetcode.com/problems/determine-if-string-halves-are-alike/description,"You are given a string `s` of even length. Split this string into two halves of equal lengths, and let `a` be the first half and `b` be the second half.
 
 Two strings are alike if they have the same number of vowels (`'a'`, `'e'`, `'i'`, `'o'`, `'u'`, `'A'`, `'E'`, `'I'`, `'O'`, `'U'`). Notice that `s` contains uppercase and lowercase letters.
 
 Return `true` if `a` and `b` are alike. Otherwise, return `false`.
 
 
 Example 1:
 Input: s = ""book""
 Output: true
 Explanation: a = ""bo"" and b = ""ok"". a has 1 vowel and b has 1 vowel. Therefore, they are alike.
 
 
 Example 2:
 Input: s = ""textbook""
 Output: false
 Explanation: a = ""text"" and b = ""book"". a has 1 vowel whereas b has 2. Therefore, they are not alike.
 
 Notice that the vowel o is counted twice.
 
 
 Example 3:
 Input: s = ""MerryChristmas""
 Output: false
 
 Example 4:
 Input: s = ""AbCdEfGh""
 Output: true
 
 Constraints:
 `2 <= s.length <= 1000`
 `s.length` is even.
 
 `s` consists of uppercase and lowercase letters."
48,Number of Students Unable to Eat Lunch,"['Array', 'Stack', 'Queue', '1+']",78.40%,1700,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/description,"The school cafeteria offers circular and square sandwiches at lunch break, referred to by numbers `0` and `1` respectively. All students stand in a queue. Each student either prefers square or circular sandwiches.
 
 The number of sandwiches in the cafeteria is equal to the number of students. The sandwiches are placed in a stack. At each step:
 If the student at the front of the queue prefers the sandwich on the top of the stack, they will take it and leave the queue.
 
 Otherwise, they will leave it and go to the queue's end.
 
 This continues until none of the queue students want to take the top sandwich and are thus unable to eat.
 
 You are given two integer arrays `students` and `sandwiches` where `sandwiches[i]` is the type of the `i​​​​​​th` sandwich in the stack (`i = 0` is the top of the stack) and `students[j]` is the preference of the `j​​​​​​th` student in the initial queue (`j = 0` is the front of the queue). Return the number of students that are unable to eat.
 
 
 Example 1:
 Input: students = [1,1,0,0], sandwiches = [0,1,0,1]
 Output: 0 
 Explanation:
 - Front student leaves the top sandwich and returns to the end of the line making students = [1,0,0,1].
 
 - Front student leaves the top sandwich and returns to the end of the line making students = [0,0,1,1].
 
 - Front student takes the top sandwich and leaves the line making students = [0,1,1] and sandwiches = [1,0,1].
 
 - Front student leaves the top sandwich and returns to the end of the line making students = [1,1,0].
 
 - Front student takes the top sandwich and leaves the line making students = [1,0] and sandwiches = [0,1].
 
 - Front student leaves the top sandwich and returns to the end of the line making students = [0,1].
 
 - Front student takes the top sandwich and leaves the line making students = [1] and sandwiches = [1].
 
 - Front student takes the top sandwich and leaves the line making students = [] and sandwiches = [].
 
 Hence all students are able to eat.
 
 
 Example 2:
 Input: students = [1,1,1,0,0,1], sandwiches = [1,0,0,0,1,1]
 Output: 3
 
 Constraints:
 `1 <= students.length, sandwiches.length <= 100`
 `students.length == sandwiches.length`
 `sandwiches[i]` is `0` or `1`.
 
 `students[i]` is `0` or `1`."
49,Calculate Money in Leetcode Bank,['Math'],78.40%,1716,https://leetcode.com/problems/calculate-money-in-leetcode-bank/description,"Hercy wants to save money for his first car. He puts money in the Leetcode bank every day.
 
 He starts by putting in `$1` on Monday, the first day. Every day from Tuesday to Sunday, he will put in `$1` more than the day before. On every subsequent Monday, he will put in `$1` more than the previous Monday. 
 Given `n`, return the total amount of money he will have in the Leetcode bank at the end of the `nth` day.
 
 
 Example 1:
 Input: n = 4
 Output: 10
 Explanation: After the 4th day, the total is 1 + 2 + 3 + 4 = 10.
 
 
 Example 2:
 Input: n = 10
 Output: 37
 Explanation: After the 10th day, the total is (1 + 2 + 3 + 4 + 5 + 6 + 7) + (2 + 3 + 4) = 37. Notice that on the 2nd Monday, Hercy only puts in $2.
 
 
 Example 3:
 Input: n = 20
 Output: 96
 Explanation: After the 20th day, the total is (1 + 2 + 3 + 4 + 5 + 6 + 7) + (2 + 3 + 4 + 5 + 6 + 7 + 8) + (3 + 4 + 5 + 6 + 7 + 8) = 96.
 
 
 Constraints:
 `1 <= n <= 1000`"
50,Sum of Unique Elements,"['Array', 'Hash Table', 'Counting']",78.40%,1748,https://leetcode.com/problems/sum-of-unique-elements/description,"You are given an integer array `nums`. The unique elements of an array are the elements that appear exactly once in the array.
 
 Return the sum of all the unique elements of `nums`.
 
 
 Example 1:
 Input: nums = [1,2,3,2]
 Output: 4
 Explanation: The unique elements are [1,3], and the sum is 4.
 
 
 Example 2:
 Input: nums = [1,1,1,1,1]
 Output: 0
 Explanation: There are no unique elements, and the sum is 0.
 
 
 Example 3:
 Input: nums = [1,2,3,4,5]
 Output: 15
 Explanation: The unique elements are [1,2,3,4,5], and the sum is 15.
 
 
 Constraints:
 `1 <= nums.length <= 100`
 `1 <= nums[i] <= 100`"
51,Generate a String With Characters That Have Odd Counts,['String'],78.10%,1374,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/description,"Given an integer `n`, return a string with `n` characters such that each character in such string occurs an odd number of times.
 
 The returned string must contain only lowercase English letters. If there are multiples valid strings, return any of them. 
 
 Example 1:
 Input: n = 4
 Output: ""pppz""
 Explanation: ""pppz"" is a valid string since the character 'p' occurs three times and the character 'z' occurs once. Note that there are many other valid strings such as ""ohhh"" and ""love"".
 
 
 Example 2:
 Input: n = 2
 Output: ""xy""
 Explanation: ""xy"" is a valid string since the characters 'x' and 'y' occur once. Note that there are many other valid strings such as ""ag"" and ""ur"".
 
 
 Example 3:
 Input: n = 7
 Output: ""holasss""
 
 Constraints:
 `1 <= n <= 500`"
52,Armstrong Number,['Math'],77.80%,1134,https://leetcode.com/problems/armstrong-number/description,"Given an integer `n`, return `true` if and only if it is an Armstrong number.
 
 The `k`-digit number `n` is an Armstrong number if and only if the `kth` power of each digit sums to `n`.
 
 
 Example 1:
 Input: n = 153
 Output: true
 Explanation: 153 is a 3-digit number, and 153 = 13 + 53 + 33.
 
 
 Example 2:
 Input: n = 123
 Output: false
 Explanation: 123 is a 3-digit number, and 123 != 13 + 23 + 33 = 36.
 
 
 Constraints:
 `1 <= n <= 108`"
53,Unique Number of Occurrences,"['Array', 'Hash Table']",77.70%,1207,https://leetcode.com/problems/unique-number-of-occurrences/description,"Given an array of integers `arr`, write a function that returns `true` if and only if the number of occurrences of each value in the array is unique.
 
 
 Example 1:
 Input: arr = [1,2,2,1,1,3]
 Output: true
 Explanation: The value 1 has 3 occurrences, 2 has 2 and 3 has 1. No two values have the same number of occurrences.
 
 
 Example 2:
 Input: arr = [1,2]
 Output: false
 
 Example 3:
 Input: arr = [-3,0,1,-3,1,1,1,-3,10,0]
 Output: true
 
 Constraints:
 `1 <= arr.length <= 1000`
 `-1000 <= arr[i] <= 1000`"
54,Baseball Game,"['Array', 'Stack', 'Simulation']",77.50%,682,https://leetcode.com/problems/baseball-game/description,"You are keeping score for a baseball game with strange rules. The game consists of several rounds, where the scores of past rounds may affect future rounds' scores.
 
 At the beginning of the game, you start with an empty record. You are given a list of strings `ops`, where `ops[i]` is the `ith` operation you must apply to the record and is one of the following:
 An integer `x` - Record a new score of `x`.
 
 `""+""` - Record a new score that is the sum of the previous two scores. It is guaranteed there will always be two previous scores.
 
 `""D""` - Record a new score that is double the previous score. It is guaranteed there will always be a previous score.
 
 `""C""` - Invalidate the previous score, removing it from the record. It is guaranteed there will always be a previous score.
 
 Return the sum of all the scores on the record.
 
 
 Example 1:
 Input: ops = [""5"",""2"",""C"",""D"",""+""]
 Output: 30
 Explanation:
 ""5"" - Add 5 to the record, record is now [5].
 
 ""2"" - Add 2 to the record, record is now [5, 2].
 
 ""C"" - Invalidate and remove the previous score, record is now [5].
 
 ""D"" - Add 2 * 5 = 10 to the record, record is now [5, 10].
 
 ""+"" - Add 5 + 10 = 15 to the record, record is now [5, 10, 15].
 
 The total sum is 5 + 10 + 15 = 30.
 
 
 Example 2:
 Input: ops = [""5"",""-2"",""4"",""C"",""D"",""9"",""+"",""+""]
 Output: 27
 Explanation:
 ""5"" - Add 5 to the record, record is now [5].
 
 ""-2"" - Add -2 to the record, record is now [5, -2].
 
 ""4"" - Add 4 to the record, record is now [5, -2, 4].
 
 ""C"" - Invalidate and remove the previous score, record is now [5, -2].
 
 ""D"" - Add 2 * -2 = -4 to the record, record is now [5, -2, -4].
 
 ""9"" - Add 9 to the record, record is now [5, -2, -4, 9].
 
 ""+"" - Add -4 + 9 = 5 to the record, record is now [5, -2, -4, 9, 5].
 
 ""+"" - Add 9 + 5 = 14 to the record, record is now [5, -2, -4, 9, 5, 14].
 
 The total sum is 5 + -2 + -4 + 9 + 5 + 14 = 27.
 
 
 Example 3:
 Input: ops = [""1""]
 Output: 1
 
 Constraints:
 `1 <= ops.length <= 1000`
 `ops[i]` is `""C""`, `""D""`, `""+""`, or a string representing an integer in the range `[-3 * 104, 3 * 104]`.
 
 For operation `""+""`, there will always be at least two previous scores on the record.
 
 For operations `""C""` and `""D""`, there will always be at least one previous score on the record."
